категория категорија
старейшините старешините
непотвърдени непотврдени
швейцарското швајцарското
индустриалци индустријалци
иглолистните иглолисните
паранормален паранормално
обсерватории опсерватории
подпомогнати потпомогнати
суперзвезда суперѕвезда
консервиране конзервирање
разместване разместување
обективност објективност
африканският африканскиот
координират координираат
философският философскиот
широколистна широколисна
трапезарията трпезаријата
предизвикали предизвикале
разпределено распределено
неизвестност неизвесност
отдалеченост оддалеченост
конструират конструираат
почистването почитувањето
церемониално церемонијално
осъзнаването осознавањето
хеликоптерът хеликоптерот
причинителят причинителот
приближаване приближување
ресторантите рестораните
зороастризма зороастризам
нестандартни нестандардни
лъгадинското лагадинското
изразяването изразувањето
медицинският медицинскиот
насочването насочувањето
регионалният регионалниот
неправилното неправилност
краткосрочни краткорочни
извънредните извонредните
забравените заборавените
видоизменени видоизменети
тринадесетте тринаесетте
цървенковски црвенковски
полизахариди полисахариди
постигнатото постигнатиот
философското филозофското
оптимизиране оптимизирани
безалкохолна безалкохолен
митрополитът митрополитот
социализация социјализација
деветдесетте деведесетите
обективната објективната
монозахариди моносахариди
употребявана употребувана
краткосрочен краткорочен
деветнадесет деветнаесет
религиозният религиозниот
спонсорирана спонзорирана
вертикалното вертикалниот
приспособява приспособува
икономистите економистите
практикували практикувале
средноголеми средноголема
манипулират манипулираат
обединявайки обединувајќи
самоубийства самоубиства
специфичният специфичниот
дългогодишно долгогодишно
полуостровът полуостровот
мобилизират мобилизираат
колонизират колонизираат
прекомерното прекумерното
вегетарианци вегетаријанци
определеното определениот
евразийската евроазиската
разпродадени распродадени
настояването настојувањето
наблюдавайки набљудувајќи
диалектиката дијалектиката
колониалното колонијалното
опрашването опрашувањето
викторианска викторијанска
олимпийското олимпиското
договореност договореното
консервирани конзервирани
сериозността сериозноста
премествания преместувања
регистрирате регистрирале
освободители ослободители
лингвистично лингвистичко
лъгадинската лагадинската
предложеното предложениот
спекулациите шпекулациите
наследявайки наследувајќи
реномираните реномираниот
филипийската филипинската
прекомерната прекумерната
детерминизъм детерминизам
рационализъм рационализам
употребявано употребувано
спонсорирани спонзорирани
случайността случајноста
викториански викторијански
гладиаторски гладијаторски
аналитичните аналитичките
подвижността подвижноста
канцеларски канцелариски
драматичното драматичниот
оплакването оплакувањето
подпомогната потпомогната
абстрактната апстрактната
католицизмът католицизмот
церемониален церемонијален
подпомогнато потпомогнато
сформираната формираната
популационна популациона
естремадура екстремадура
обработвани обработувани
транзакциите трансакциите
подобрявайки подобрувајќи
пенсионерите пензионерите
невъзможното невозможното
ислямизирани исламизирани
доброволното доброволниот
присъединила присоединила
отцепването отцепувањето
припокриване препокривање
раздвижване раздвижување
комплексното комплексност
единадесетте единаесетте
югозападният југозападниот
осигурителен осигурителна
разселването раселувањето
собственичка сопственичка
космополитен космополитан
вегетарианец вегетаријанец
церемониална церемонијална
виетнамските виетнамскиот
географският географскиот
консултират консултираат
модифицират модифицираат
седиментните седиментите
субстанцията супстанцијата
анонимността анонимноста
фламандските фламанските
ръководенето раководењето
предпоследен претпоследен
нематериални нематеријални
интензитетът интензитетот
инициативите иницијативите
мемориалната меморијалната
придружавани придружувани
абстрактните апстрактните
кърчовалията крчовалијата
самоконтрол самоконтрола
пелагонийска пелагониска
практикувана практикувала
порфирогенет порфирогенит
обективното објективното
geographica geographical
\varepsilon \varepsilon_
хималайските хималајскиот
катедралният катедралниот
приспособили приспособиле
симптоматика симптоматска
заздравяване заздравување
синтетичните синтетичките
богослужебен богослужбен
структурното структурниот
възнесението вознесението
отпечатъците отпечатоците
одобряването одобрувањето
ликвидността ликвидноста
архиерейския архијерејски
покачването покачувањето
капитализмът капитализмот
растителният растителниот
анаксимандър анаксимандар
дескриптивна дескриптивни
референдумът референдумот
прецизността прецизноста
катализират катализираат
благородният благородниот
полиморфизъм полиморфизам
меморандумът меморандумот
поляризирана поларизирана
спекулативни шпекулативни
представките претставките
романтичното романтичниот
деветгодишна деветгодишно
либерализмът либерализмот
амбициозните амбициозниот
дестилацията дестинацијата
трансоксиана трансоксијана
горнолужишки горнолужички
аржентинците аргентинците
преподобният преподобниот
полуфиналния полуфинални
протагониста протагонисти
семантичната семантичката
козметичната козметичката
специалитети специјалитети
застъпниците застапниците
полинезийски полинезиски
гладиаторите гладијаторите
шампионските шампионскиот
фармацевтика фармацевтска
разтворените растворените
кападокийски кападокиски
осветеността посветеноста
ограбването ограбувањето
постепенната постепената
суспендиране суспендиран
индонезийска индонезиска
консервирана конзервирана
божественият божествениот
резонансната резонантната
краткосрочно краткорочно
хармониката хармониската
контролираща контролирала
първобитните првобитните
дистрибутори дистрибутери
неформалното неформалниот
спекулативна шпекулативна
величествено величенствен
провидението привидението
португалецът португалецот
придружавана придружувана
осветяването осветувањето
халюциногени халуциногени
констатират констатираат
прегласуване прогласување
подразбират подразбираат
преименуваме преименувале
предавателят предавателот
граматичните граматичките
антананариву антананариво
спонсорирано спонзорирано
пречупването спречувањето
университет универзитет
разположено расположено
включително вклучително
създаването создавањето
продължение продолжение
разположени расположени
разположена расположена
ръководител раководител
собственост сопственост
посредством посредство
английската англиската
специалност специјалност
византийски византиски
командване командување
общественик општественик
североизток североисток
популярност популарност
ръководство раководство
императора императорка
обединеното обединетото
многобройни многубројни
многократно многукратно
департамент департмент
представени претставени
предприятия претпријатија
представена претставена
противника противничка
специалисти специјалисти
популярните популарните
подобряване подобрување
сладководни слатководни
разработва разработува
осигуряване осигурување
обединените обединетите
отговорност одговорност
официалната официјалната
собствените сопствените
сигурността сигурноста
асоциацията асоцијацијата
революцията револуцијата
преминаване преминување
официалното официјалното
византийска византиска
подпоручик подпоручник
аржентински аргентински
преброяване пребројување
собствената сопствената
съпротивата спротивната
кръстоносен крстоносен
класирането лансирањето
изучаването изучувањето
композирана компонирана
предприятие претпријатие
пътешествие патешествие
ръкоположен ракоположен
обявяването објавувањето
магистърска магистерска
популярната популарната
императорът императорот
официалните официјалните
олимпиадата олимпијадата
предприемач претприемач
английските англиските
екзекутиран егзекутиран
редакторите предаторите
собственото сопственото
истинската вистинската
волфенбютел волфенбител
четиридесет четириесет
символизира симболизира
прекръстено прекрстено
княжеството кнежеството
представено претставено
затворници затвореници
търговските трговските
търговската трговската
сдружението здружението
материалите материјалите
продължения продолженија
английското англиското
въстаниците востаниците
недостатъци недостатоци
иконостасът иконостасот
собственици сопственици
парламентът парламентот
специалните специјалните
истинското вистинското
тракийските тракиските
стихосбирка стихозбирка
полуфинала полуфинална
централният централниот
резолюцията резолуцијата
наблюдавани набљудувани
хабсбургите хабсбурзите
споменаване споменување
дълбочината длабочината
роден_място роден_место
специалната специјалната
неофициален неофицијален
тракийската тракиската
германският германскиот
разрешаване разрешување
компютрите компјутерите
персийската персиската
постоянните постојаните
британският британскиот
създадената создадената
стандартите стандардите
колумбийски колумбиски
развиващите развивачите
истинските вистинските
нелегалност нелегалниот
католицизма католицизам
местностите уметностите
тракийското тракиското
обединената обединетата
сицилиански сицилијански
автомобилът автомобилот
сприятелява спријателува
достойнство достоинство
италианците италијанците
„александър „александар
престъпници престапници
разрушаване разрушување
валентиниан валентинијан
капитализма капитализам
неофициално неофицијално
хърватската хрватската
постоянното постојаното
пътешествия патешествија
претенциите претензиите
капацитетът капацитетот
универсален универзален
византийско византиско
спасяването спасувањето
представата претставата
консумират консумираат
противоречи противречни
популярното популарното
препратките препораките
индивидите индивидуите
грузинската грузиската
постоянната постојаната
белгийската белгиската
завладяване завладување
селектиран селектирање
реализират реализираат
преживяване преживување
болшевиките болшевиците
потенциални потенцијални
завършвайки завршувајќи
потенциално потенцијално
активността активноста
екзекуцията егзекуцијата
натрупване натрупување
кръстоносци крстоносци
запознават запознаваат
предизвикат предизвикаа
поморавието поморавјето
препратката препораката
компенсация компензација
престижните престижниот
французина французинка
генералният генералниот
създадените создадените
веществото вештерството
представите претставите
секретариат секретаријат
диагностика дијагностика
пристигнали пристигнале
обединяване обединување
търговското трговското
универсална универзална
универсални универзални
наследникът наследникот
пълноправен полноправен
либерализъм либерализам
затварянето затварањето
освободител ослободител
подпомогнат потпомогнат
смъртоносно смртоносно
венециански венецијански
„последният „последниот
неофициални неофицијални
кръстоносни крстоносни
шестнадесет шестнаесет
единадесета единаесетта
страданието страдањето
аржентинска аргентинска
настаняване настанување
ориентиране ориентирале
персийските персиските
окупационни окупациони
усвояването усвојувањето
уикипедията википедијата
универсално универзално
франкската франкиската
писмеността писменоста
отделението одделението
галапагоски галапагошки
единадесети единаесетти
преработва преработува
появяването појавувањето
критикуват критикуваат
назначаване назначување
хърватските хрватските
стихосбирки стихозбирки
непрестанно непрестајно
наследяване наследување
съимператор соимператор
потенциална потенцијална
метаболизъм метаболизам
тълкуването толкувањето
„възнесение „вознесение
комбинират комбинираат
гарантират гарантираат
визуализира визуелизира
противникът противникот
индианските индијанските
напредване напредување
наблюдавана набљудувана
ориентират ориентираат
изместване изместување
пренасочва пренасочува
белгийските белгиските
джуджетата џуџестата
субективно субјективно
строителите сторителите
безсмислено бесмислено
дванадесети дванаесетти
длъжностите должностите
каролингите каролинзите
някогашната некогашната
пенсиониран пензиониран
механичните механичките
ръководства раководства
едностранно еднострано
молекулярна молекуларна
многократни многукратни
специалното специјалното
гъркомански гркомански
присвояване присвојување
страданията страдањата
окупационна окупациона
консервация конзервација
ефективното ефективниот
виртуалната виртуелната
механичната механичката
управителят управителот
финикийците феникијците
изселването иселувањето
разполагане располагање
гевгелийско гевгелиско
илюстратори илустратори
продаваният продаваниот
крайовската кратовската
страхувайки стравувајќи
французинът французинот
франкското франкиското
гуадалахара гвадалахара
неофициална неофицијална
анализират анализираат
смъртоносна смртоносна
кинетичната кинетичката
някогашните некогашните
инициативен иницијативен
сънародници сонародници
стимулират стимулираат
оценяването оценувањето
разпределен распределен
наблюдавано набљудувано
подаването продавањето
тринадесети тринаесетти
хореография кореографија
планинският планинскиот
продуцентът продуцентот
хърватското хрватското
съперниците соперниците
показателно показателот
сърцевината срцевината
потенциален потенцијален
елиминират елиминираат
тринадесета тринаесетта
многобройна многубројна
присъединил присоединил
халюцинации халуцинации
капитаните капиталните
пристанищни пристанишни
субективни субјективни
ръководните раководните
латвийската латвиската
петнадесети петнаесетти
венецианска венецијанска
валидността валидноста
възобновена возобновена
великденски велигденски
съгласуване согласување
защитавайки заштитувајќи
безсмислени бесмислени
обвинявайки обвинувајќи
лицензирани лиценцирани
финансират финансираат
извършените извршените
подстраница потстраница
проектират проектираат
богородичен богородична
федералният федералниот
наблюдаване набљудување
магистърски магистерски
струмишката струмичката
корпорейшън корпорејшн
франкските франкиските
хидравлични хидраулични
някогашното некогашното
забележката забелешката
малоазийски малоазиски
поляризация поларизација
талибаните талибанците
смъртоносни смртоносни
интегрират интегрираат
стопанисва стопанисува
грузинските грузиските
архипелагът архипелагот
диафрагмата дијафрагмата
патриотизъм патриотизам
спонсориран спонзориран
покръстване покрстување
конфискува конфискувал
противното спротивното
антиохийска антиохиска
дискутират дискутираат
индианското индијанското
извършеното извршеното
египетският египетскиот
миграционни миграциони
брегалнишки брегалнички
ликвидират ликвидираат
антиохийски антиохиски
саутхемптън саутхемптон
предходното претходното
конкурират конкурираат
коментират коментираат
меровингите меровинзите
декларират декларираат
минималният минималниот
съветниците советниците
назначавани назначувани
ислямизация исламизација
самоотбрана самоодбрана
бразилският бразилскиот
мюнхенската минхенската
непроменени непроменети
субективна субјективна
народността народноста
ибрахимович ибрахимовиќ
утвърдените утврдените
аритметични аритметички
сепаратизъм сепаратизам
преселване преселување
дванадесета дванаесетта
благословия благословил
символиката симболиката
продуцират продуцираат
информират информираат
шампионатът шампионатот
скептицизъм скептицизам
жълтеникаво жолтеникаво
недовършена недовршена
ктиторският ктиторскиот
живописните живописниот
придружаван придружуван
холандският холандскиот
бойкотират бојкотираат
предвестник предвесник
преименуват применуваат
метаболитни метаболични
посредничи посреднички
безмилостно безмилосно
композиране компонирање
инвестират инвестираат
илюстрирана илустрирана
кандидатска кандидатски
употребяван употребуван
псевдонимът псевдонимот
украинският украинскиот
петнадесета петнаесетта
московският московскиот
сладководна слатководна
смъртоносен смртоносен
стилистични стилистички
инвалидите инвалидитет
репертоарът репертоарот
берлинският берлинскиот
интерфейсът интерфејсот
вдлъбнатини вдлабнатини
извършената извршената
легитимност легитимниот
колумбийска колумбиска
гъркоманите гркоманите
саундтракът саундтракот
безсмислена бесмислена
арианството аријанството
алкохолизъм алкохолизам
сицилианска сицилијанска
недовършени недовршени
превантивна превентивна
преходните претходните
основанието основањето
занаятчиите занаетчиите
транспортът транспортот
субективен субјективен
жълтеникави жолтеникави
композирани компонирани
революциите револуциите
позитивизъм позитивизам
формулират формулираат
реактивните релативните
territorien territories
равноправни рамноправни
инжектиране инјектирање
балканският балканскиот
непопулярен непопуларен
молдовската молдавската
гевгелийски гевгелиски
настоявайки настојувајќи
забранената забранетата
белгийското белгиското
влиятелният влијателниот
измирането изумирањето
министерска министерка
погребвани погребувани
дълготрайни долготрајни
злонамерени злонамерни
каталунците каталонците
авантюристи авантуристи
лондонският лондонскиот
двадесетина дваесетина
каликратис „каликратис
индоарийски индоариски
прогонване прогонување
сладководно слатководно
пристрастен пристрасен
ливанската литванската
непроменена непроменета
илюстрирани илустрирани
придружител придружните
димитриевич димитриевиќ
харалампиев харалампие
първокласни првокласни
наблюдаваме набљудуваме
установката установата
канибализъм канибализам
малолетните малолетниот
керамичните керамичките
пълноправни полноправни
устноцветни усноцветни
шенгенското шенгенскиот
грънчарство грнчарство
многобройно многубројно
струмишкото струмичкото
етрополска метрополска
лицензиране лиценцирање
благодарим благодариме
персийското персиското
бюрократите бирократите
изработвали изработувал
народоосвободителната народноослободителната
динамичното динамичниот
извършвайки извршувајќи
натурализъм натурализам
направеното направениот
лицензирана лиценцирана
недоволните неповолните
помощниците помошниците
осветеност посветеност
молекулярни молекуларни
рекламират рекламираат
инсталират инсталираат
израелският израелскиот
хипотетично хипотетичко
гувернантка гувернанта
пренасочват пренасочат
гевгелийска гевгелиска
островните островјаните
уикипроекти википроекти
характерите карактерите
забранените забранетите
реактивната релативната
посочвайки посочувајќи
подвидовете подвидовите
жълтеникава жолтеникава
негодувание негодување
хартфордшър хартфордшир
полковникът полковникот
твърдокрили тврдокрилци
конкретният конкретниот
маршаловите маршаловиот
илюминатите илуминатите
безнадеждно безнадежно
непостоянни непостојани
влошаването влошувањето
намалявайки намалувајќи
реконкиста реконквиста
разрушените разрушениот
австралиеца австралиец
наименуване наметнување
индианската индијанската
модерността модерноста
механичното механичкото
оздравяване оздравување
промотиране промовирање
интервюира интервјуиран
аржентинско аргентинско
суперлативи суперлатив
разполагала располагала
орбиталният орбиталниот
астероидния астероидни
любопитното љубопитност
меморандума меморандуми
историцизъм историцизам
непроменено непроменето
пролетарска пролетерска
редуването уредувањето
диагоналите дијагоналите
напояването напојувањето
деклариране декларирале
континентът континентот
авторитетът авторитетот
молекулярен молекуларен
специалитет специјалитет
обяснявайки објаснувајќи
забележките забелешките
приоритетно приоритетот
извършители извршители
армейските арамејските
осемгодишна осумгодишна
спонсорство спонзорство
вдлъбнатина вдлабнатина
разполагало располагало
китаристите гитаристите
превантивни превентивни
превземайки преземајќи
инспекторът инспекторот
интервютата интервјуата
отговорните одговорните
непознатият непознатиот
говорителят говорителот
гръмотевици грмотевици
незавършени незавршени
завършената завршената
повдигането подигањето
брахмапутра брамапутра
дистрибутор дистрибутер
личностните сличностите
изразявайки изразувајќи
наставникът наставникот
духовността духовноста
дълготрайно долготрајно
олимпиадите олимпијадите
предпазливо претпазливо
словенският словенскиот
насочвайки насочувајќи
романтизмът романтизмот
посредника посредничка
асоциациите асоцијациите
гуадалканал гвадалканал
великовски величковски
беззвучната безвучната
учителският учителскиот
аритметична аритметичка
пирамидална пирамидални
кондратиева кондратиев
плевенските племенските
споменатият споменатиот
увереността сувереноста
хелсингбори хелсингборг
погребване погребување
кръстоносна крстоносна
наставника наставничка
виртуалните виртуелните
маркетингът маркетингот
либералното либералниот
хипотетична хипотетичка
патриарсите патријарсите
изселниците иселениците
алувиалните алувијалните
сеизмичните сеизмичките
сценаристът сценаристот
кратовското кратовскиот
светлосиньо светлосино
околийските околиските
кумулативни кумулативна
прекрасното прекрасниот
стопанският стопанскиот
споменавана споменувана
контролерът контролерот
етрополския метрополски
дълготрайна долготрајна
циркулират циркулираат
унифициране унифицирани
представила претставила
сдруженията здруженијата
конгресите конгресните
президиумът президиумот
диаметрално дијаметрално
непопулярна непопуларна
преходната претходната
страничното страничниот
поделенията одделенијата
престъпните престапните
посредникът посредникот
приспособят приспособат
положените посложените
контролиращ контролирал
досегашният досегашниот
хипотетични хипотетички
пристрастни пристрасни
загряването загревањето
поставеният поставениот
илюстрирано илустрирано
резервоарът резервоарот
грабителски градителски
предпочитал претпочитал
екзопланети егзопланети
асоциативни асоцијативни
гуадалкивир гвадалкивир
отвоюването освојувањето
успоредните споредните
презимуват презимуваат
масимилиано масимилијано
узурпаторът узурпаторот
гностицизъм гностицизам
омаловажава омаловажува
зографските зографскиот
молекулярно молекуларно
мобилността мобилноста
удвояването удвојувањето
тридесетина триесетина
пресрещнати пресретнати
формалности формалност
левкоцитите леукоцитите
едностранна еднострана
безмилостен безмилосен
надгробният надгробниот
сладководен слатководен
концертният концертниот
беларуските белоруските
антивирусен антивирусна
дебютирайки дебитирајќи
назначеният назначениот
преминавала преминувала
ръководното раководното
дисперсията дисперзијата
перуанските перуанскиот
обработвали обработувал
костурският костурскиот
предпазливи претпазливи
виртуалното виртуелното
клавиатурни клавијатурни
употребявал употребувал
илюстриране илустрирање
балансират балансираат
равноправен рамноправен
въодушевени воодушевени
контролният контролниот
погребаните погребните
ашурбанипал асурбанипал
бунтовника бунтовничка
хидравличен хидрауличен
вдишването вдишувањето
версайският версајскиот
исландските исландскиот
пристанищна пристанишна
днестровски несторовски
колонизира колонизиран
автономното автономниот
стамболски стамболиски
установките установите
утвърдената утврдената
сърбоманите србоманите
спрингстийн спрингстин
каролингски каролински
скромността скромноста
фолклорният фолклорниот
класираните пласираните
неутралният неутралниот
„господарят „господарот
релативизъм релативизам
хертогенбош хертогенбос
суверенните суверените
пълноправно полноправно
непостоянна непостојана
пропадането пропаѓањето
посетителят посетителот
равноправна рамноправна
оправдаване оправдување
коментирано коментирање
оптималните оптималниот
агрегатното агрегатниот
бременности бремености
султанските султанскиот
реактивното релативното
контингента континентал
подобрените одобрените
юстинианова јустинијанова
тевтонският тевтонскиот
декларирали декларирал
иберийските ибериските
известяване известување
ембрионално ембрионални
омбудсманът омбудсманот
коринтският коринтскиот
севастийски севастиски
правилникът правилникот
преобразен преобразена
екзопланета егзопланета
секретират секретираат
възвишеното возвишеното
разколников раскољников
регулярните регуларните
затвореното затворениот
паралелното паралелниот
планираният планираниот
препоръчано препорачано
отслабената ослабената
превантивно превентивно
престолната престојната
